gene,log2FC,p_value
MYCBP2,0.33817322848519427,0.06135031838717462
FBXL3,-0.0702066424594268,0.50326306547881
ITGAL,0.7187233656240088,0.0038083742918030307
PDK2,0.501674563046703,0.0025702614937035103
ITGA3,1.9319618763803166,0.02353828705376464
ZFX,0.8051660370224005,0.00012990730424665932
LAMP2,0.8936603195695267,1.8798197375429147e-05
ITGA2B,0.4993093458921518,0.32980269261171935
ASB4,0.46797848864003605,0.16962408845643884
GDE1,0.6731068303193529,0.0001696829996224282
REX1BD,0.900923737507063,2.098709953079703e-05
CRLF1,2.0715646812573376,0.0023395071691213833
OSBPL7,1.1212625102294198,0.004995321800805617
TMEM98,1.9107969025597258,1.2075358196593494e-05
YBX2,3.5563936307392434,0.14317663609458953
KRT33A,-1.6674246609131294,0.30074333325549973
MAP3K14,0.7928412514482615,0.04954903887162723
ABCC8,3.3436958407213377,0.10316200683621474
CACNG3,-1.9309699490229695,0.004562693608982961
TMEM132A,2.892559664806555,0.1487394320792447
AP2B1,1.0602698438310427,5.6042399058564193e-08
TAC1,0.5446562531271635,0.6977504989703678
ZNF263,0.9187681482073936,2.92332092576375e-13
CX3CL1,0.34150253103228767,0.09324859702102743
SPATA20,1.0247315382863578,0.0004214666210752776
CACNA1G,2.5426847623709685,0.006193790424193201
TNFRSF12A,0.5093667430187362,0.08307181948890933
DLX6,6.783323320633033,0.020454179937277068
MAP3K9,2.311346009155556,8.052117974876996e-08
RALA,1.0936323501527987,3.751702315477077e-09
BAIAP2L1,1.1674611588589523,3.41049560078307e-07
KDM7A,-0.16033196433691377,0.29237861110935454
ETV1,1.2035616900881387,0.04996498722474915
AGK,0.9496921292251306,2.5441101777030622e-08
ALDH3B1,1.3600419167827653,0.00017042668706177677
TTC22,1.0999246114757228,0.006924606048146423
PHTF2,1.3178507060390972,9.236930459394478e-07
CCL26,3.355112759460399,0.037235318449143684
FARP2,0.2825183406685492,0.06613018583863234
USH1C,2.9229252625400997,0.02024089281542695
GGCT,1.2620610870826388,5.381925550544413e-10
DBF4,1.6331477282039322,2.525426571027235e-08
TBXA2R,-1.1319002941305367,1.0715984511952219e-08
IFRD1,0.8675198939366867,7.173260466564707e-06
LGALS14,6.551644498025053,0.2625025388917809
COX10,0.5883808579162412,0.0030615046079853414
GTF2IRD1,1.9843186992038855,8.261399702015884e-08
PAF1,0.6975284219751519,1.346735146080038e-10
VPS41,0.953968142037279,7.609694813138965e-06
ARHGAP44,2.003592151281648,0.002982115894896376
ELAC2,0.49339228450235445,9.059876079542525e-05
SCIN,2.3357944891465996,2.7323206884074436e-05
ARSD,-0.09466093414557675,0.565095601730312
PNPLA4,0.2944131936766308,0.026949651128380634
MYH13,4.206748432390805,0.037682392697925685
ADIPOR2,0.2545349461457683,0.07841217065721993
CDKL3,1.4607997320071662,1.099184804917495e-08
UPP2,0.2574739166501711,0.758126904725205
PRSS21,-0.4803335548431896,0.24761864615741697
MARK4,1.606087037705413,2.240452308342738e-11
PROM1,-0.9205467724517489,0.03641936506664083
CCDC124,1.411626486331801,3.7194585407053047e-09
CEACAM21,-0.16000868936080295,0.5877479143112998
PAFAH1B1,0.5532895611783869,9.240213641952702e-05
NOS2,2.5657509906634295,0.002221570400681833
DNAH9,0.27689120650919274,0.5441770639047867
KIAA0100,1.6903689750656143,3.5556680302780915e-13
SLC13A2,1.4906503356988778,0.09512926939647746
GAS7,0.8099631689373765,0.04554248918266895
TRAPPC6A,0.7591972081535197,5.06438823077695e-08
MATK,0.9053330431304997,0.023443844623469556
CEACAM7,2.2323879741275046,0.2550973782873739
CD79B,0.4226804620517166,0.1310390669517372
SCN4A,2.9901378994960726,3.4884762595207254e-10
ST7L,1.0295399598934323,3.761463597569983e-06
TKTL1,2.9218225314904687,0.18650678599592846
PAX6,5.9451256053723665,0.024411598128631463
RPUSD1,1.4659609439651216,2.353718446604607e-12
RHBDF1,1.4274565049229844,7.179914861667711e-07
LUC7L,0.7770117695130689,3.053706928457178e-06
CACNA2D2,1.2355416226544484,0.06523453297589489
BAIAP3,0.6228435602869653,0.006436266590063264
TSR3,1.1662005400980857,2.1993148483271763e-09
PIGQ,0.6302207773979437,1.9439648584558383e-05
CRAMP1,1.506050511313634,7.635646908568119e-13
TEAD3,1.2641523339905343,1.8638255663896194e-07
SELE,-0.6129929875337333,0.03869710320795114
DNAJC11,0.6160954961515565,0.0001996763739139862
FMO3,-0.2981340832149462,0.15693148698212175
MYLIP,1.2138297236056568,9.170865476901164e-05
NOX1,2.3004485849333984,0.09480829602404556
E2F2,3.6570216183181556,7.620453515570106e-06
PSMB1,0.5655035587486109,4.765733119070731e-06
SYN1,-0.24614163655679508,0.4895857744128016
JARID2,1.1941481088715373,1.2326739014552677e-06
CDKL5,1.201065471652186,2.5997550738942375e-05
CAMK1G,1.38443056947176,0.1500611372647861
CDK11A,0.7615538177224529,0.00012361220486213192
NADK,0.30111054358641304,0.024358423006846288
TFAP2B,4.945092099551816,0.3133663615207882
TFAP2D,0.09515723304034034,0.9473566615658465
DLEC1,-0.1369935877086563,0.6686767387965311
CYTH3,1.49497235655842,2.9515875319532655e-09
ADAM22,2.6344737792062483,0.00021770179289312133
SYPL1,1.1709126362336457,1.290560856051317e-11
CYB561,1.5281139284632745,1.6422256998289641e-06
SPAG9,0.5288181698437497,0.0023645772738187633
CELSR3,4.183592374223278,7.823894877167356e-07
AASS,0.20433378397822644,0.47988152472017964
PLEKHG6,0.9753443572064935,0.0011713878186304766
SS18L2,0.6713306181618771,1.8016741433142605e-08
MPND,0.8702362954412822,8.817566373433769e-07
MGST1,0.0667277198003813,0.6216292975942334
CRY1,0.48341093515460826,0.004644626691919044
PGLYRP1,-1.7463997011535168,8.378088384671419e-07
NFIX,1.0381161107961983,0.0001376357633065412
ST3GAL1,0.6803631725804348,0.015146439151901336
MMP25,0.2924458111058963,0.3995260055930906
IL32,1.2796389169497078,6.971552780870883e-05
PKD1,1.433913651946807,5.2534911117686065e-09
MAPK8IP2,3.493472340853082,2.1285941552934223e-06
MED24,1.3892654753791525,7.473016999962702e-14
RHOBTB2,1.928254064085205,0.013412220225270409
HEATR5B,0.8277803029158839,1.137427492923762e-05
SEC62,0.04943423483302502,0.6319350020726714
RPS20,1.1499533590563962,4.912590459408036e-05
CSDE1,0.7820560233604159,1.8821059692095e-06
UBE3C,1.0769501456738715,1.5132746532311204e-08
REV3L,0.46130864843535313,0.0030063147585046327
TENM1,0.028261078919296953,0.947240133855731
PAX7,0.4718235253704212,0.579448043020063
MASP2,0.08796244331521248,0.5944738040476556
IYD,-0.7823934399747239,0.0018514707101692264
FAM76A,0.5560895513549771,1.5374865702478628e-05
TRAF3IP3,0.1846486901679799,0.6402920565016303
POMT2,1.2613791187702719,3.7503736729546045e-10
VTA1,0.39004174932473545,0.004751083323801338
MLXIPL,0.8655195232923664,1.719307218929678e-05
BAZ1B,1.1736747337028335,6.6542876037367324e-09
RANBP9,0.7355138411140947,1.4432871272073338e-05
ETV7,0.49870649241643933,0.31543794307632256
SPRTN,1.1719936103300863,4.4734921498865894e-11
EEF1AKNMT,1.4926585742425276,8.949794711576854e-10
DYRK4,0.4583394308871042,0.000645192244503283
ZNF207,1.166946301256042,2.2425419516468e-11
UQCRC1,0.6831161893581528,3.3001476052475153e-10
STARD3NL,0.9741560378147156,1.7905797792609236e-05
CD9,0.7294037366623283,0.0034880113857582162
HHATL,6.876784050652289,0.3130768324133225
NCAPD2,2.029837356597759,4.873409920537069e-07
IFFO1,1.0519954919264922,1.4863081118568307e-11
GIPR,1.9496045038858048,0.04487687050191146
PHF7,0.8146000590316586,1.0446613775295299e-05
SEMA3G,2.045620692878186,0.0007768669653605173
NISCH,1.1338882932389074,3.0277771598877164e-11
STAB1,-0.5559979512737727,0.0026815165931762383
FUZ,0.2509421157205955,0.24004671917361656
SLC6A13,-0.3550873381760303,0.1271995554362962
IDS,0.5865043224806709,0.020564503404067635
PRSS3,1.653900743483394,0.007245574846915538
ZNF200,1.383991816645923,1.8817948696250696e-10
CD4,-0.9928591322652364,2.2398308427315387e-06
LRRC23,0.7628038033484451,2.296842935526021e-06
BTK,-0.11483722016769957,0.666437591684372
HFE,1.0588912166011213,9.395309128385698e-06
SCMH1,1.0550789633879158,2.380332602535621e-06
FYN,-0.23879708366241464,0.09278568978099164
HIVEP2,0.27276518217648144,0.1415627684794222
FMO1,3.603648700351732,0.08754894245299233
ELOA,0.38379196157633,0.0015764830181239189
LYPLA2,0.7304756316958686,8.256820961156197e-10
CLCN6,0.6414114361352111,0.00020949236943915286
MRC2,0.10841914657145489,0.7277312155851332
NME1-NME2,0.0,
SLC6A7,3.724063656919885,0.003239862247955254
TSPAN9,-0.041085269144464316,0.6939729497326879
BTBD7,0.948521105285635,2.8908499908971898e-06
APBA3,1.062905279264815,3.353827384242045e-11
MKS1,0.9703271448573774,1.4204191589116514e-06
ABHD5,0.2879300253689792,0.051516691590826315
ANOS1,0.5837228944233059,0.09151124270505001
AKAP8L,1.3525053294904272,1.6309938867348972e-10
MBTD1,0.6060754986662361,0.00013647580135981363
UTP18,1.1713662976648143,3.784576104762081e-09
RNF216,1.3714329881029779,1.2695220439124712e-10
TTC19,0.11371317477648646,0.44530759602978986
PTBP1,1.0296850377255873,9.0108722335576e-10
DPF1,2.9779817083233473,0.010818066906005392
SYT7,-0.01700062246767232,0.9595064600695438
LARS2,0.6662883760087235,1.0904613839781382e-05
PIK3C2A,0.7884548032855041,8.349477626766624e-07
PLAUR,-0.3015080134499608,0.39487168077717916
ANLN,4.555261273483684,1.451876162389109e-06
WIZ,1.4838001935923566,2.6955545023193483e-05
RABGAP1,0.8918284093478029,8.281915533228579e-07
DCN,-2.0559867808214523,2.7833732538564643e-13
QPCTL,1.178251812300211,2.1830258900399336e-11
PPP5C,0.7077353919401115,1.2947494012293723e-06
CEP68,1.407805809537612,2.018201717035778e-10
MAP4K3,1.184728657518427,6.710379076954723e-05
ZBTB32,1.66456257092686,0.0001296219828468667
TYROBP,-0.04491678935887948,0.8412752986590697
TMEM159,0.6959139103602845,0.06545407401483927
GABRA3,6.973669909589796,0.0038938332534586085
